id       ,user_id,opponent_race_result_id,result,type    ,drift_points,settings,created_at                ,updated_at,coins_reward,elo_delta,opponent_elo_delta
129307426,462998 ,128585740              ,us    ,battle  ,5337        ,        ,2017-02-01 00:00:00.156118,          ,11000       ,11       ,-5
129307427,2898813,129305782              ,us    ,battle  ,1579        ,        ,2017-02-01 00:00:00.935154,          ,1000        ,17       ,-5
129307428,1973238,129035004              ,them  ,battle  ,            ,        ,2017-02-01 00:00:01.509157,          ,7000        ,-5       ,12
129307429,2945871,129306642              ,them  ,battle  ,1217        ,        ,2017-02-01 00:00:01.82837 ,          ,700         ,-5       ,10
129307430,2797231,128497245              ,them  ,battle  ,192         ,        ,2017-02-01 00:00:01.945138,          ,7000        ,-5       ,10
129307431,2938772,129150027              ,us    ,battle  ,4757        ,        ,2017-02-01 00:00:02.122492,          ,1000        ,10       ,-5
129307432,2749376,128571733              ,them  ,battle  ,2891        ,        ,2017-02-01 00:00:02.286429,          ,5000        ,-5       ,10
129307433,282799 ,129139223              ,us    ,battle  ,2705        ,        ,2017-02-01 00:00:02.559862,          ,7000        ,17       ,-5
129307434,2322346,129243626              ,us    ,battle  ,3378        ,        ,2017-02-01 00:00:03.550928,          ,3800        ,15       ,-5
129307435,2891290,128880373              ,them  ,battle  ,1528        ,        ,2017-02-01 00:00:03.636801,          ,3000        ,-5       ,10
129307436,2818329,129303800              ,them  ,battle  ,4747        ,        ,2017-02-01 00:00:04.285058,          ,7000        ,-5       ,10
129307437,2727229,128215314              ,them  ,quali   ,6136        ,        ,2017-02-01 00:00:04.893259,          ,1500        ,0        ,0
129307438,346878 ,128564868              ,us    ,battle  ,6103        ,        ,2017-02-01 00:00:05.15938 ,          ,11000       ,11       ,-5
129307439,2831292,128542794              ,them  ,battle  ,4544        ,        ,2017-02-01 00:00:05.521863,          ,7000        ,-5       ,10
129307440,1789085,129107504              ,us    ,battle  ,6165        ,        ,2017-02-01 00:00:06.379772,          ,11000       ,10       ,-5
129307441,2922795,129174744              ,them  ,quali   ,1107        ,        ,2017-02-01 00:00:06.974867,          ,1500        ,0        ,0
129307442,536571 ,129265641              ,them  ,battle  ,2454        ,        ,2017-02-01 00:00:07.30233 ,          ,7000        ,-5       ,12
129307443,76118  ,128610464              ,us    ,battle  ,7019        ,        ,2017-02-01 00:00:08.94054 ,          ,11000       ,21       ,-5
129307444,1284415,128975619              ,them  ,battle  ,605         ,        ,2017-02-01 00:00:10.336537,          ,1700        ,-5       ,10
129307445,2904707,128828789              ,us    ,battle  ,3786        ,        ,2017-02-01 00:00:10.366195,          ,3800        ,10       ,-5
129307446,762069 ,129306403              ,them  ,battle  ,1700        ,        ,2017-02-01 00:00:11.413939,          ,7000        ,-5       ,10
129307447,2913555,126825825              ,them  ,quali   ,756         ,        ,2017-02-01 00:00:11.752243,          ,1500        ,0        ,0
129307448,2773883,128955837              ,us    ,battle  ,2433        ,        ,2017-02-01 00:00:11.961607,          ,7000        ,13       ,-5
129307449,884386 ,128502127              ,us    ,battle  ,6660        ,        ,2017-02-01 00:00:12.098316,          ,11000       ,10       ,-5
129307450,1833865,129306276              ,us    ,battle  ,911         ,        ,2017-02-01 00:00:12.409779,          ,1000        ,14       ,-5
129307451,1502894,128911836              ,them  ,battle  ,3772        ,        ,2017-02-01 00:00:12.49168 ,          ,7000        ,-5       ,12
129307452,2945873,129306896              ,them  ,quali   ,167         ,        ,2017-02-01 00:00:12.509895,          ,1500        ,0        ,0
129307453,2882278,129133126              ,them  ,battle  ,            ,        ,2017-02-01 00:00:12.879649,          ,5000        ,-5       ,12
129307454,2696440,129306483              ,us    ,battle  ,3349        ,        ,2017-02-01 00:00:13.138148,          ,3800        ,15       ,-5
129307455,168556 ,129302608              ,them  ,battle  ,1897        ,        ,2017-02-01 00:00:13.626042,          ,700         ,-5       ,10
129307456,2933915,128358820              ,them  ,quali   ,981         ,        ,2017-02-01 00:00:14.161634,          ,1500        ,0        ,0
129307457,2919613,129298389              ,them  ,battle  ,179         ,        ,2017-02-01 00:00:14.250265,          ,700         ,-5       ,10
129307458,2770870,129272133              ,them  ,battle  ,3530        ,        ,2017-02-01 00:00:14.66134 ,          ,7000        ,-5       ,10
129307459,2910223,128582732              ,them  ,battle  ,1162        ,        ,2017-02-01 00:00:14.885912,          ,1700        ,-5       ,10
129307460,332479 ,128221099              ,them  ,quali   ,3421        ,        ,2017-02-01 00:00:15.13638 ,          ,1500        ,0        ,0
129307461,977589 ,128941009              ,us    ,battle  ,4329        ,        ,2017-02-01 00:00:15.471885,          ,9000        ,13       ,-5
129307462,2938680,129055208              ,them  ,battle  ,2047        ,        ,2017-02-01 00:00:16.009244,          ,700         ,-5       ,10
129307463,2630823,128612181              ,them  ,battle  ,530         ,        ,2017-02-01 00:00:16.514613,          ,1700        ,-5       ,10
129307464,262628 ,129303795              ,us    ,battle  ,1443        ,        ,2017-02-01 00:00:18.656549,          ,3800        ,15       ,-5
129307465,2687327,128514980              ,us    ,battle  ,2375        ,        ,2017-02-01 00:00:18.813163,          ,9000        ,12       ,-5
129307466,2863753,129304337              ,us    ,battle  ,1201        ,        ,2017-02-01 00:00:18.857809,          ,1000        ,14       ,-5
129307467,2926044,129303300              ,us    ,battle  ,3587        ,        ,2017-02-01 00:00:20.025352,          ,3800        ,11       ,-5
129307468,1936804,128555325              ,them  ,quali   ,521         ,        ,2017-02-01 00:00:20.026301,          ,1500        ,0        ,0
129307469,1693003,128800875              ,us    ,battle  ,4618        ,        ,2017-02-01 00:00:20.064717,          ,11000       ,12       ,-5
129307470,1368122,129307087              ,them  ,battle  ,5105        ,        ,2017-02-01 00:00:20.620192,          ,7000        ,-5       ,10
129307471,2938434,129231731              ,them  ,quali   ,1706        ,        ,2017-02-01 00:00:21.018642,          ,1500        ,0        ,0
129307472,2928580,129307230              ,them  ,quali   ,1471        ,        ,2017-02-01 00:00:21.771931,          ,1500        ,0        ,0
129307473,2945875,129306773              ,us    ,battle  ,1209        ,        ,2017-02-01 00:00:21.857674,          ,1000        ,14       ,-5
129307474,2925080,128992456              ,us    ,battle  ,2159        ,        ,2017-02-01 00:00:22.071882,          ,1000        ,15       ,-5
129307475,908756 ,129299952              ,us    ,battle  ,3784        ,        ,2017-02-01 00:00:22.800747,          ,7000        ,10       ,-5
129307476,2848372,128843703              ,them  ,battle  ,2436        ,        ,2017-02-01 00:00:22.908769,          ,5000        ,-5       ,10
129307477,2944578,129199033              ,us    ,battle  ,1818        ,        ,2017-02-01 00:00:23.930674,          ,1000        ,17       ,-5
129307478,2819396,128882193              ,us    ,battle  ,5967        ,        ,2017-02-01 00:00:23.960057,          ,11000       ,10       ,-5
129307479,2718713,129267953              ,us    ,battle  ,5499        ,        ,2017-02-01 00:00:24.202621,          ,11000       ,11       ,-5
129307480,2922902,129157897              ,us    ,battle  ,3457        ,        ,2017-02-01 00:00:24.48521 ,          ,3800        ,11       ,-5
129307481,52661  ,129050537              ,us    ,battle  ,5767        ,        ,2017-02-01 00:00:24.489817,          ,11000       ,10       ,-5
129307482,2945876,129306846              ,us    ,battle  ,1878        ,        ,2017-02-01 00:00:24.642382,          ,1000        ,15       ,-5
129307483,2797231,128856473              ,them  ,battle  ,1494        ,        ,2017-02-01 00:00:24.675181,          ,7000        ,-5       ,10
129307484,2224134,128419370              ,them  ,quali   ,1288        ,        ,2017-02-01 00:00:25.12475 ,          ,1500        ,0        ,0
129307485,2917460,129307197              ,them  ,quali   ,1104        ,        ,2017-02-01 00:00:25.564501,          ,1500        ,0        ,0
129307486,1107127,129233196              ,them  ,battle  ,1878        ,        ,2017-02-01 00:00:26.317159,          ,1700        ,-5       ,10
129307487,2925489,128526017              ,them  ,battle  ,1365        ,        ,2017-02-01 00:00:26.630084,          ,1700        ,-5       ,10
129307488,2945882,                       ,them  ,quali   ,456         ,        ,2017-02-01 00:00:26.778836,          ,1500        ,0        ,0
129307489,2750142,128699793              ,them  ,battle  ,862         ,        ,2017-02-01 00:00:26.791077,          ,5000        ,-5       ,10
129307490,2919872,128550681              ,them  ,battle  ,1383        ,        ,2017-02-01 00:00:27.09031 ,          ,3000        ,-5       ,10
129307491,1108152,129083015              ,them  ,battle  ,447         ,        ,2017-02-01 00:00:27.388787,          ,5000        ,-5       ,10
129307492,2225367,129108189              ,us    ,battle  ,5559        ,        ,2017-02-01 00:00:27.812436,          ,11000       ,15       ,-5
129307493,2835513,128888233              ,us    ,battle  ,2122        ,        ,2017-02-01 00:00:28.355846,          ,7000        ,15       ,-5
129307494,72245  ,128497076              ,us    ,battle  ,5306        ,        ,2017-02-01 00:00:29.209977,          ,11000       ,12       ,-5
129307495,2103453,128927370              ,them  ,battle  ,1055        ,        ,2017-02-01 00:00:29.260544,          ,700         ,-5       ,10
129307496,2911179,129163147              ,them  ,battle  ,1080        ,        ,2017-02-01 00:00:29.553883,          ,1700        ,-5       ,10
129307497,1879943,128961726              ,them  ,battle  ,            ,        ,2017-02-01 00:00:29.872431,          ,1700        ,-5       ,10
129307498,1808194,128939789              ,them  ,battle  ,1797        ,        ,2017-02-01 00:00:30.825306,          ,700         ,-5       ,10
129307499,2784333,128768059              ,us    ,battle  ,3832        ,        ,2017-02-01 00:00:30.90609 ,          ,3800        ,10       ,-5
129307500,1687370,128597953              ,us    ,battle  ,4596        ,        ,2017-02-01 00:00:31.606511,          ,11000       ,14       ,-5
129307501,2876634,129284094              ,them  ,battle  ,854         ,        ,2017-02-01 00:00:31.801871,          ,1700        ,-5       ,10
129307502,920704 ,129120501              ,them  ,battle  ,4370        ,        ,2017-02-01 00:00:32.456904,          ,7000        ,-5       ,15
129307503,2850576,128581317              ,them  ,battle  ,1642        ,        ,2017-02-01 00:00:33.732717,          ,3000        ,-5       ,10
129307504,2053436,129081252              ,us    ,battle  ,968         ,        ,2017-02-01 00:00:34.152448,          ,1000        ,14       ,-5
129307505,2911718,129307304              ,them  ,quali   ,1693        ,        ,2017-02-01 00:00:34.293962,          ,1500        ,0        ,0
129307506,2440483,128909926              ,them  ,battle  ,7           ,        ,2017-02-01 00:00:34.313225,          ,7000        ,-5       ,10
129307507,866505 ,129015055              ,them  ,battle  ,1204        ,        ,2017-02-01 00:00:34.392935,          ,7000        ,-5       ,10
129307508,2945315,129247452              ,us    ,battle  ,1810        ,        ,2017-02-01 00:00:34.731512,          ,1000        ,15       ,-5
129307509,2779221,128674932              ,them  ,battle  ,3250        ,        ,2017-02-01 00:00:34.782922,          ,7000        ,-5       ,10
129307510,2799253,129307061              ,them  ,quali   ,155         ,        ,2017-02-01 00:00:35.472135,          ,1500        ,0        ,0
129307511,2492511,128581214              ,them  ,battle  ,3325        ,        ,2017-02-01 00:00:35.501826,          ,5000        ,-5       ,12
129307512,2819957,129013674              ,us    ,battle  ,2999        ,        ,2017-02-01 00:00:35.686182,          ,3800        ,12       ,-5
129307513,2822085,128685144              ,us    ,battle  ,4878        ,        ,2017-02-01 00:00:35.735996,          ,11000       ,10       ,-5
129307514,2784340,129305589              ,us    ,battle  ,767         ,        ,2017-02-01 00:00:35.745696,          ,1000        ,14       ,-5
129307515,106920 ,128560374              ,us    ,battle  ,5786        ,        ,2017-02-01 00:00:35.753786,          ,11000       ,10       ,-5
129307516,2863603,127462796              ,them  ,quali   ,835         ,        ,2017-02-01 00:00:35.902579,          ,1500        ,0        ,0
129307517,944448 ,126636743              ,them  ,quali   ,4073        ,        ,2017-02-01 00:00:36.340668,          ,1500        ,0        ,0
129307518,147827 ,128965618              ,them  ,battle  ,1436        ,        ,2017-02-01 00:00:36.344666,          ,3000        ,-5       ,10
129307519,2613351,128617159              ,them  ,battle  ,3458        ,        ,2017-02-01 00:00:36.428611,          ,7000        ,-5       ,12
129307520,380503 ,128543045              ,them  ,quali   ,462         ,        ,2017-02-01 00:00:36.625151,          ,1500        ,0        ,0
129307521,2826769,128530658              ,them  ,quali   ,3478        ,        ,2017-02-01 00:00:36.963924,          ,1500        ,0        ,0
129307522,2903536,128548915              ,us    ,battle  ,1651        ,        ,2017-02-01 00:00:37.093129,          ,7000        ,13       ,-5
129307523,907803 ,129170233              ,us    ,battle  ,4000        ,        ,2017-02-01 00:00:37.245602,          ,9000        ,15       ,-5
129307524,1797577,128893710              ,us    ,battle  ,4459        ,        ,2017-02-01 00:00:37.721562,          ,11000       ,15       ,-5
129307525,1028632,129294652              ,us    ,battle  ,1707        ,        ,2017-02-01 00:00:38.534311,          ,7000        ,14       ,-5
129307526,1042723,128967431              ,us    ,battle  ,4227        ,        ,2017-02-01 00:00:39.440816,          ,9000        ,13       ,-5
129307527,272280 ,128734505              ,them  ,battle  ,1923        ,        ,2017-02-01 00:00:41.615606,          ,7000        ,-5       ,10
129307528,2236307,128690930              ,them  ,battle  ,3132        ,        ,2017-02-01 00:00:41.686037,          ,7000        ,-5       ,10
129307529,153530 ,129307205              ,them  ,quali   ,1704        ,        ,2017-02-01 00:00:41.930648,          ,1500        ,0        ,0
129307530,2898005,128588589              ,them  ,battle  ,1566        ,        ,2017-02-01 00:00:42.105449,          ,3000        ,-5       ,10
129307531,661896 ,128586683              ,them  ,quali   ,1691        ,        ,2017-02-01 00:00:42.296363,          ,1500        ,0        ,0
129307532,1877773,128530822              ,us    ,battle  ,5718        ,        ,2017-02-01 00:00:42.325276,          ,11000       ,12       ,-5
129307533,2882607,128587237              ,them  ,battle  ,2208        ,        ,2017-02-01 00:00:42.722248,          ,5000        ,-5       ,10
129307534,1925429,128569091              ,them  ,battle  ,2550        ,        ,2017-02-01 00:00:43.129164,          ,5000        ,-5       ,10
129307535,493327 ,128544890              ,them  ,battle  ,3188        ,        ,2017-02-01 00:00:43.22169 ,          ,1700        ,-5       ,10
129307536,1822468,128940982              ,us    ,battle  ,3266        ,        ,2017-02-01 00:00:44.55469 ,          ,7000        ,11       ,-5
129307537,1853410,128829135              ,us    ,battle  ,2672        ,        ,2017-02-01 00:00:45.037287,          ,3800        ,17       ,-5
129307538,1933339,129253573              ,them  ,quali   ,4430        ,        ,2017-02-01 00:00:45.058214,          ,1500        ,0        ,0
129307539,259787 ,129175121              ,us    ,battle  ,2612        ,        ,2017-02-01 00:00:45.182511,          ,9000        ,15       ,-5
129307540,655932 ,129280111              ,them  ,battle  ,1654        ,        ,2017-02-01 00:00:45.237422,          ,7000        ,-5       ,12
129307541,2909955,128618441              ,us    ,battle  ,3598        ,        ,2017-02-01 00:00:45.315864,          ,7000        ,15       ,-5
129307542,1883683,128866235              ,them  ,battle  ,1927        ,        ,2017-02-01 00:00:45.539736,          ,7000        ,-5       ,12
129307543,2912022,128812926              ,us    ,battle  ,3546        ,        ,2017-02-01 00:00:45.953989,          ,3800        ,15       ,-5
129307544,2873336,128857855              ,us    ,battle  ,3771        ,        ,2017-02-01 00:00:46.091466,          ,11000       ,13       ,-5
129307545,1319170,129146726              ,them  ,battle  ,2980        ,        ,2017-02-01 00:00:46.735934,          ,7000        ,-5       ,15
129307546,447229 ,128536224              ,us    ,battle  ,5121        ,        ,2017-02-01 00:00:46.984132,          ,11000       ,10       ,-5
129307547,2924845,128537923              ,us    ,battle  ,1244        ,        ,2017-02-01 00:00:47.371808,          ,3800        ,13       ,-5
129307548,2640655,128959299              ,them  ,battle  ,1466        ,        ,2017-02-01 00:00:47.726713,          ,7000        ,-5       ,10
129307549,2863778,128567883              ,them  ,battle  ,3211        ,        ,2017-02-01 00:00:48.025617,          ,5000        ,-5       ,10
129307550,2851529,128741266              ,them  ,battle  ,2679        ,        ,2017-02-01 00:00:48.398524,          ,3000        ,-5       ,10
129307551,2766974,128779215              ,us    ,battle  ,2631        ,        ,2017-02-01 00:00:48.655159,          ,7000        ,15       ,-5
129307552,2926575,128515761              ,them  ,battle  ,956         ,        ,2017-02-01 00:00:48.859258,          ,1700        ,-5       ,10
129307553,915837 ,129307374              ,them  ,quali   ,2346        ,        ,2017-02-01 00:00:49.198788,          ,1500        ,0        ,0
129307554,1473878,129217509              ,us    ,battle  ,4404        ,        ,2017-02-01 00:00:49.737632,          ,9000        ,10       ,-5
129307555,2890786,129188146              ,them  ,battle  ,631         ,        ,2017-02-01 00:00:50.14698 ,          ,3000        ,-5       ,10
129307556,2692690,129300441              ,them  ,battle  ,1239        ,        ,2017-02-01 00:00:50.521989,          ,3000        ,-5       ,10
129307557,2873778,128588759              ,us    ,battle  ,3998        ,        ,2017-02-01 00:00:51.076296,          ,9000        ,10       ,-5
129307558,2426205,129300578              ,them  ,battle  ,78          ,        ,2017-02-01 00:00:51.799716,          ,1700        ,-5       ,10
